domain,company_name,industry,employee_count,revenue,estimated_monthly_spend,avg_cpc,conversion_rate,efficiency_score,monthly_waste,annual_savings,waste_opportunities,data_source
toh.com.br,Toh Acessórios Pet,consumer services,13,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
bikinilasirene.com.br,La Sirène,retail,10,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
magnavita.com.br,Empório Magna Vita,retail,10,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
joolabrasil.com,JOOLA Brasil Tênis de Mesa e Pickleball,retail,7,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
voyantdistrihub.com,Voyant Distrihub,retail,4,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
naguirreshop.com.br,Naguirre Shop,retail,9,,6500.0,2.5,0.018,66.7,1300.0,15600.0,1,industry_estimates
ayapitaya.com.br,Aya Pitaya,retail,15,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
itstone.com.br,It Stone Semi Joias,retail,7,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
aurha.com.br,Aurha,retail,6,,5000.0,3.0,0.02,62.5,0.0,0.0,0,industry_estimates
autofasstore.com,Autofãs,retail,5,,6500.0,2.5,0.018,66.7,1300.0,15600.0,1,industry_estimates
