company_name,domain,website_clean,priority_tier,tier_name,business_type,market_region,estimated_employees,currency,monthly_revenue_display,monthly_revenue_numeric,monthly_marketing_spend_display,monthly_marketing_spend_numeric,opportunity_value_display,opportunity_value_numeric,overall_fit_score,size_confidence,revenue_confidence,marketing_confidence,opportunity_confidence,opportunity_type,discovery_query_type,bigquery_domain_key,bigquery_enrichment_status,bigquery_last_update,lead_status,assigned_to,contact_priority,follow_up_date,notes,created_date,last_modified
Vancouver Dental Specialty Clinic - Prosthodontist & Cosmetic ...,vancouverdentalimplants.ca,https://vancouverdentalimplants.ca,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $3,480",3480.0,CAD $195,194.88000000000002,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,vancouverdentalimplants.ca,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:55.998613,2025-07-30T13:39:55.998613
Our Services - Experssions Clinic – Dental Clinic in Vancouver,expressionsclinics.ca › our-services,https://expressionsclinics.ca › our-services,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $3,190",3190.0000000000005,CAD $179,178.64000000000001,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,expressionsclinics.ca › our-services,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:55.998613,2025-07-30T13:39:55.998613
"Dental Exams and Cleanings in Vancouver, BC",mydentistvancouver.ca › service › dental-exams-...,https://mydentistvancouver.ca › service › dental-exams-...,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $3,190",3190.0000000000005,CAD $179,178.64000000000001,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,mydentistvancouver.ca › service › dental-exams-...,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:55.998613,2025-07-30T13:39:55.998613
Vancouver Dentists & Dental Clinic by Deerwater Dental ...,deerwater.ca,https://deerwater.ca,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $3,190",3190.0000000000005,CAD $179,178.64000000000001,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,deerwater.ca,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:55.998613,2025-07-30T13:39:55.998613
Home - Experssions Clinic – Dental Clinic in Vancouver,expressionsclinics.ca,https://expressionsclinics.ca,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $3,190",3190.0000000000005,CAD $179,178.64000000000001,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,expressionsclinics.ca,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:55.998613,2025-07-30T13:39:55.998613
Downtown Vancouver Dentist BC | Professional Dental Clinic ...,theartofsmile.ca,https://theartofsmile.ca,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $2,900",2900.0,CAD $162,162.39999999999998,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,theartofsmile.ca,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:55.998613,2025-07-30T13:39:55.998613
Capitol Hill Dental Clinic - Our Practice,capitolhilldental.ca › our-values,https://capitolhilldental.ca › our-values,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $3,480",3480.0,CAD $195,194.88000000000002,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,capitolhilldental.ca › our-values,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:55.998613,2025-07-30T13:39:55.998613
Services,smileavenuedental.ca › services,https://smileavenuedental.ca › services,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $2,900",2900.0,CAD $162,162.39999999999998,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,smileavenuedental.ca › services,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:56.009071,2025-07-30T13:39:56.009071
Vancouver Dentists & Dental Clinic by Deerwater ...,deerwater.ca › ...,https://deerwater.ca › ...,1,Tier 1 - Immediate,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,"CAD $3,190",3190.0000000000005,CAD $179,178.64000000000001,0.886,0.7,0.595,0.5355,0.4284,General conversion optimization,booking_optimization,deerwater.ca › ...,pending,,new,,high,2025-07-31T09:00:00,Discovered via booking_optimization. Fit score: 0.89,2025-07-30T13:39:56.009071,2025-07-30T13:39:56.009071
"Family Dentistry in Vancouver, WA",vancouverdds.com › services › family-dent...,https://vancouverdds.com › services › family-dent...,2,Tier 2 - Priority,Dental,Canada,5,CAD,"CAD $60,417",60416.666666666664,"CAD $2,175",2174.9999999999995,CAD $122,121.79999999999997,0.898,0.8,0.68,0.6120000000000001,0.4896000000000001,General conversion optimization,general_services,vancouverdds.com › services › family-dent...,pending,,new,,medium,2025-08-01T09:00:00,Discovered via general_services. Fit score: 0.90,2025-07-30T13:39:56.009071,2025-07-30T13:39:56.009071
